x,mono_5.5,mono_5.8,mono_6.1,hmw_5.5,hmw_5.8,hmw_6.1
-1.622976,,,-5.44013,,,
-1.572284,,,-5.03062,,,
-1.485682,,,-4.33651,,,
-1.476455,,,,,,-5.4397
-1.461633,,-5.43965,,,,
-1.445664,,,,,,-5.03434
-1.422374,,-5.03223,,,,
-1.367956,,,,,,-4.33616
-1.334926,,-4.33607,,,,
-1.324852,,,,,-5.43925,
-1.295332,,,,,-5.03186,
-1.285893,-5.43914,,,,,
-1.234987,,,,,-4.33373,
-1.234776,-5.03168,,,,,
-1.161725,-4.33556,,,,,
-1.154193,,,,-5.43875,,
-1.11705,,,,-5.03134,,
-1.074914,,,,-4.33531,,
