x,SP Sepharose FF,SP Spherodex M,SP-650 M,EMD sulfonate M,CM Sepharose FF,CM Spherodex M,CM-650 M,EMD carboxylic M,SP-550 C
0.049967,,,,,,,0.35994,,
0.050259,,,0.67344,,,,,,
0.074999,,,,,0.35341,,,,
0.07503,,,,,,,,0.21626,
0.075092,,,-0.05806,,,,,,
0.075108,,,,,,,-0.1299,,
0.085275,,,,,,0.41872,,,
0.09913,,,,,-0.1299,,,,
0.099139,,,,,,,,-0.16255,
0.099832,,,,,,-0.22787,,,
0.09995,,,-0.61974,,,,,,
0.123882,0.02032,,,,,,,,
0.124103,,,,,,,,-0.57402,
0.124111,,,,,,-0.59361,,,
0.124125,,,,,-0.6328,,,,
0.124681,,,,,,,,,0.13135
0.125121,,,-1.03774,,,,,,
0.125135,,,,,,,-1.07692,,
0.14891,-0.39768,,,,,,,,
0.14913,,,,,,-0.89405,,,
0.14914,,,,,,,,-0.92017,
0.14918,,,,,-1.01161,,,,
0.14981,,,,-0.14949,,,,,
0.14994,,,,,,,,,-0.44993
0.15038,,,-1.42308,,,,,,
0.17324,,,,,,,,-1.21408,
0.17329,,,,,-1.30552,,,,
0.17402,,,,-0.46299,,,,,
0.17417,-0.74383,,,,,,,,
0.17418,,,,,,,,,-0.76996
0.17439,,,,,,-1.16836,,,
0.17466,,,,,,,-1.67126,,
0.17467,,,-1.70392,,,,,,
0.17491,,0.09216,,,,,,,
0.19807,,,,-0.74383,,,,,
0.19824,-1.02467,,,,,,,,
0.19825,,,,,,,,,-1.04427
0.19849,,,,,,,,-1.4492,
0.19855,,,,,-1.54064,,,,
0.19912,,-0.25399,,,,,,,
0.1998,,,,,,-1.38389,,,
0.2001,,,,,,,-1.88026,,
0.20013,,,-1.92598,,,,,,
0.22409,-1.26633,,,,,,,,
0.2241,,,,,,,,,-1.28592
0.22509,,-0.50218,,,,,,,
0.22541,,,,-0.97242,,,,,
0.22617,,,-2.09579,,,,,,
0.24817,-1.45573,,,,,,,,
0.24843,,,,,,,,-1.79536,
0.2485,,,,,-1.89985,,,,
0.2493,,-0.71771,,,,,,,
0.24966,,,,-1.18795,,,,,
0.25007,,,,,,-1.73657,,,
0.25036,,,,,,,-2.12845,,
0.25043,,,-2.21988,,,,,,
0.25158,,,,,,,,,-1.49492
0.27424,,-0.91364,,,,,,,
0.27461,,,,-1.35776,,,,,
0.29644,,,,,,,,-2.03701,
0.2965,,,,,-2.10232,,,,
0.29673,,,-2.36357,,,,,,
0.29821,-1.7627,,,,,,,,
0.29838,,,,,,-1.9521,,,
0.29961,,-1.07692,,,,,,,
0.3,,,,-1.50145,,,,,
0.30026,,,,,,,,,-1.78882
0.30072,,,,,,,-2.29826,,
0.3463,-1.9717,,,,,,,,
0.34657,,,,,-2.22642,,,,
0.34842,,,,-1.74964,,,,,
0.34885,,,,,,,,-2.1611,
0.34925,,,,,,,-2.53338,,
0.34925,,,-2.53991,,,,,,
0.35034,,-1.32511,,,,,,,
0.35109,,,,,,,,,-2.03701
0.39664,-2.08926,,,,,,,,
0.39689,,,,,,,,-2.29826,
0.39699,,,,,-2.38316,,,,
0.39865,,-1.52104,,,,,,,
0.39915,,,,-1.93251,,,,,
0.39948,,,,,,,,,-2.20682
0.40004,,,,,,,-2.67707,,
0.4002,,,-2.80769,,,,,,
0.44515,-2.19376,,,,,,,,
0.4454,,,,,,,,-2.38316,
0.44563,,,,,-2.55298,,,,
0.44749,,-1.68433,,,,,,,
0.44804,,,,-2.09579,,,,,
0.44838,,,,,,,,,-2.35051
0.44841,,,,,,-2.3701,,,
0.44908,,,,,,,-2.86647,,
0.4961,-2.21988,,,,,,,,
0.49667,,,,,,-2.59869,,,
0.49671,,,,,,,,-2.62482,
0.49703,,,,,-2.84035,,,,
0.49889,,-1.83454,,,,,,,
0.49951,,,,-2.24601,,,,,
0.49985,,,,,,,,,-2.4746
