,tis_mM,kprime,resin,iex_type,protein,data_set,pH
50,110.0,6.24390166814707,CM Spherodex M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
51,135.0,3.1860754410838865,CM Spherodex M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
52,160.0,1.6501979944854377,CM Spherodex M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
53,260.0,0.3046323740164775,CM Spherodex M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
54,310.0,0.15778149072525163,CM Spherodex M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
55,360.0,0.08420270724927463,CM Spherodex M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
56,45.0,65.23401585503791,CM-650 M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
57,60.0,19.142740622406937,CM-650 M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
58,85.0,5.451852718003457,CM-650 M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
59,110.0,1.8858368372751375,CM-650 M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
60,135.0,0.9622858834861618,CM-650 M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
61,160.0,0.5291321071506477,CM-650 M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
62,185.0,0.318261506974571,CM-650 M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
63,210.0,0.2360011476142464,CM-650 M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
64,260.0,0.14408677297682548,CM-650 M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
65,310.0,0.11343161483797791,CM-650 M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
66,360.0,0.10064312535972081,CM-650 M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
67,410.0,0.046947677742119345,CM-650 M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
68,460.0,0.05059226404093142,CM-650 M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
69,60.0,34.459778991092534,EMD carboxylic M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
70,85.0,8.325924871918907,EMD carboxylic M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
71,110.0,3.0121215120180467,EMD carboxylic M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
72,135.0,1.3842434837111608,EMD carboxylic M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
73,160.0,0.7169559738744271,EMD carboxylic M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
74,185.0,0.4185356804049153,EMD carboxylic M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
75,210.0,0.27536737701006503,EMD carboxylic M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
76,260.0,0.16562751568939799,EMD carboxylic M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
77,310.0,0.09814371378077345,EMD carboxylic M,cex,alpha-chymotrypsinogen A,DePhillips,7.0
