,IS [mM],kprime,resin,iex_type,protein
129,260.0,0.5879035251040385,EMD carboxylic M,cex,cytochrome c
131,310.0,0.33702030264088223,EMD carboxylic M,cex,cytochrome c
132,360.0,0.25325968609728194,EMD carboxylic M,cex,cytochrome c
133,410.0,0.18467413106985564,EMD carboxylic M,cex,cytochrome c
134,460.0,0.15188191498488174,EMD carboxylic M,cex,cytochrome c
135,510.0,0.08706549314788987,EMD carboxylic M,cex,cytochrome c
140,135.0,87.00835801762513,SP-550 C,cex,cytochrome c
142,160.0,22.81817848716904,SP-550 C,cex,cytochrome c
143,185.0,10.920712473799915,SP-550 C,cex,cytochrome c
144,210.0,5.806854883679859,SP-550 C,cex,cytochrome c
145,235.0,3.328825065206311,SP-550 C,cex,cytochrome c
146,260.0,2.0572684834893322,SP-550 C,cex,cytochrome c
148,310.0,1.0456611504272617,SP-550 C,cex,cytochrome c
150,410.0,0.39938428564570466,SP-550 C,cex,cytochrome c
151,460.0,0.28688046286273644,SP-550 C,cex,cytochrome c
152,510.0,0.2155812436305316,SP-550 C,cex,cytochrome c
158,145.0,143.3705660803242,Cellufine S,cex,cytochrome c
159,160.0,32.67382660631433,Cellufine S,cex,cytochrome c
160,185.0,14.143926798636954,Cellufine S,cex,cytochrome c
161,210.0,7.109842824541918,Cellufine S,cex,cytochrome c
163,260.0,2.386601998725527,Cellufine S,cex,cytochrome c
165,310.0,1.311625948711416,Cellufine S,cex,cytochrome c
166,360.0,1.0472249965958587,Cellufine S,cex,cytochrome c
167,410.0,0.46714316623128654,Cellufine S,cex,cytochrome c
168,460.0,0.21472370886217057,Cellufine S,cex,cytochrome c
169,510.0,0.11808099390104697,Cellufine S,cex,cytochrome c
