,resin,tis_M,kprime
0,Express-Ion Q,0.12528816277438107,3.5945
1,Express-Ion Q,0.13612665223724152,1.0989
2,Express-Ion Q,0.1513454611496201,0.30333
3,Express-Ion Q,0.16580723251148213,0.038518
4,Fractogel EMD TMAE 650s,0.1351753223931439,11.52
5,Fractogel EMD TMAE 650s,0.1450705042650728,4.8836
6,Fractogel EMD TMAE 650s,0.15467664846638104,2.756
7,Fractogel EMD TMAE 650s,0.16592002654720425,1.3758
8,Fractogel EMD TMAE 650s,0.17482517482517484,0.9143
9,Fractogel EMD TMAE 650s,0.1951638400437167,0.42931
10,Macro-Prep 25Q,0.19343482213668106,8.479
11,Macro-Prep 25Q,0.213656952397231,3.1154
12,Macro-Prep 25Q,0.23447758394297505,1.493
13,Macro-Prep 25Q,0.2542459066409031,0.8958
14,Macro-Prep 25Q,0.27402515550927575,0.6076
15,Poros QE/M,0.3194071802734126,3.9811
16,Poros QE/M,0.34037918240920384,2.7002
17,Poros QE/M,0.3626341746446185,1.9875
18,Poros QE/M,0.3796218965909954,1.7226
19,Poros QE/M,0.39508514084785273,1.6202
20,Poros QE/M,0.3997441637352095,1.4332
21,Poros QE/M,0.418532624618089,1.1925
22,Q HyperD 20,0.14959086897335788,15.024
23,Q HyperD 20,0.17407955435634084,3.8217
24,Q HyperD 20,0.18366822172427724,1.6202
25,Q HyperD 20,0.19364458472918802,0.8777
26,Q HyperD 20,0.20422750944552232,0.42931
27,Q HyperD 20,0.21556834594408159,0.15774
28,Q HyperD 20,0.22416498542927593,0.028936
29,Q Sepharose FF,0.19455631432518142,8.139
30,Q Sepharose FF,0.2027246188777165,5.087
31,Q Sepharose FF,0.21380313007782434,2.4883
32,Q Sepharose FF,0.22408461435037869,1.4628
33,Q Sepharose FF,0.23350301218885722,0.8958
34,Q Sepharose FF,0.24335044898157837,0.5266
35,Q Zirconia,0.1246711797633741,18.811
36,Q Zirconia,0.13545546901456146,5.751
37,Q Zirconia,0.1495640208791373,2.3887
38,Q Zirconia,0.1559478510386127,1.1925
39,Q Zirconia,0.17527254881340484,0.38761
40,Q Zirconia,0.2018000565040158,0.07875
41,Source 30Q,0.14464662828709463,13.022
42,Source 30Q,0.15522647542764895,5.635
43,Source 30Q,0.16553550736633008,2.9907
44,Source 30Q,0.17444091686145904,1.9079
45,Source 30Q,0.1848838929152492,1.1925
46,Source 30Q,0.20056157240272765,0.6201
47,Source 30Q,0.22374367924106142,0.36457
48,TSK-Gel Q-5PW-HR,0.09543077451616598,23.075
49,TSK-Gel Q-5PW-HR,0.10542184551482758,8.139
50,TSK-Gel Q-5PW-HR,0.11579166763159722,2.9302
51,TSK-Gel Q-5PW-HR,0.1263711267249659,1.348
52,TSK-Gel Q-5PW-HR,0.1363605372605168,0.6201
53,TSK-Gel Q-5PW-HR,0.1462693989790396,0.30959
54,TSK-Gel Q-5PW-HR,0.15684306283133098,0.17471
199,Poros 50 HQ,0.17816737042777986,8.226
200,Poros 50 HQ,0.18761726078799248,3.9786
201,Poros 50 HQ,0.202077355211575,1.8478
202,Poros 50 HQ,0.2264851765451951,0.6339
203,Poros 50 HQ,0.25232772324695313,0.28267
204,Poros 50 HQ,0.27781636338380333,0.18491
205,Q Sepharose HP,0.18615387479290382,17.69
206,Q Sepharose HP,0.19607074232383043,7.43
207,Q Sepharose HP,0.20639408887329466,4.5769
208,Q Sepharose HP,0.21726377995524368,2.8196
209,Q Sepharose HP,0.22869165504150754,1.8085
210,Q Sepharose XL,0.17794227552581943,19.185
211,Q Sepharose XL,0.19833399444664818,6.322
212,Q Sepharose XL,0.21739603034848584,1.8839
213,Q Sepharose XL,0.23823704586063135,0.6465
214,Q Sepharose XL,0.2580511973575557,0.29423
215,Q Sepharose XL,0.2778858444950814,0.15422
216,Q Sepharose XL,0.2975393495789818,0.08763
217,Q-Cellthru Bigbeads Plus,0.07802442164397456,0.09835
218,Q-Cellthru Bigbeads Plus,0.08311930113291607,0.038102
219,Separon HemaBio 1000Q,0.11546277480140403,13.961
220,Separon HemaBio 1000Q,0.1271860095389507,6.614
221,Separon HemaBio 1000Q,0.13700319217437765,2.8338
222,Separon HemaBio 1000Q,0.14760365466648956,1.0758
223,Separon HemaBio 1000Q,0.168239707935867,0.38419
224,Toyopearl QAE 550c,0.23001196062195234,1.6682
225,Toyopearl QAE 550c,0.2519970768339087,0.6864
226,Toyopearl QAE 550c,0.27759271596713303,0.31869
227,Toyopearl QAE 550c,0.3023797284630038,0.14214
228,Toyopearl QAE 550c,0.3274608684262231,0.0745
229,Toyopearl SuperQ 650c,0.09749724570280889,18.548
230,Toyopearl SuperQ 650c,0.10220559677847958,4.2549
231,Toyopearl SuperQ 650c,0.1082344791756862,2.0578
232,Toyopearl SuperQ 650c,0.11331573162302123,1.1233
233,Toyopearl SuperQ 650c,0.11862255489258729,0.6647
234,Toyopearl SuperQ 650c,0.12852974821022325,0.24235
235,Toyopearl SuperQ 650c,0.1370614035087719,0.047304
236,UNO Q-1,0.13591757957974285,13.658
237,UNO Q-1,0.14709992497903826,10.932
238,UNO Q-1,0.16783029001074112,2.007
239,UNO Q-1,0.17564197140548707,1.4239
240,UNO Q-1,0.20246603632240692,0.49831
241,UNO Q-1,0.22295052727799702,0.2947
699,DEAE Ceramic HyperD 20,0.12832757869302336,11.698
700,DEAE Ceramic HyperD 20,0.14756385760433766,1.7644
701,DEAE Ceramic HyperD 20,0.15855137036440944,1.008
702,DEAE Ceramic HyperD 20,0.16766406832763578,0.658
703,DEAE Sepharose FF,0.12781740615309814,11.391
704,DEAE Sepharose FF,0.13843630530808695,3.924
705,DEAE Sepharose FF,0.1481528464619663,2.1831
