,resin,tis_M,kprime
55,Express-Ion Q,0.055884654073991284,5.769
56,Express-Ion Q,0.08078588509015705,0.7897
57,Express-Ion Q,0.1060816616631483,0.32157
58,Express-Ion Q,0.13085237235351077,0.12283
59,Express-Ion Q,0.18085471940390285,0.05675
60,Fractogel EMD TMAE 650s,0.051077740320768214,51.18
61,Fractogel EMD TMAE 650s,0.055906524291384804,14.716
62,Fractogel EMD TMAE 650s,0.060840573361563365,3.1945
63,Fractogel EMD TMAE 650s,0.0712890485763577,0.763
64,Fractogel EMD TMAE 650s,0.08077674922050437,0.6151
65,Macro-Prep 25Q,0.05144297546170071,1198.1
66,Macro-Prep 25Q,0.07098189251921834,14.351
67,Macro-Prep 25Q,0.09156922175318431,1.3468
68,Macro-Prep 25Q,0.11041793187213604,0.5825
69,Macro-Prep 25Q,0.1316621023804508,0.3442
70,Macro-Prep 25Q,0.15087962823259604,0.23746
71,Poros QE/M,0.0713363437270386,3.2075
72,Poros QE/M,0.09052231375033945,1.0166
73,Poros QE/M,0.11103955228852516,0.4984
74,Poros QE/M,0.13090890049614473,0.31335
75,Q HyperD 20,0.04114041222693052,22.606
76,Q HyperD 20,0.05101260011222772,3.385
77,Q HyperD 20,0.0604536441456691,0.7138
78,Q HyperD 20,0.0708446094336682,0.22578
79,Q Sepharose FF,0.05099439061703213,1.5511
80,Q Sepharose FF,0.07087021537458452,0.4928
81,Q Sepharose FF,0.0807187194782342,0.13324
82,Q Sepharose FF,0.09091157031555405,0.05078
83,Q Zirconia,0.040854679903582956,1.449
84,Q Zirconia,0.050686806224339805,0.7331
85,Q Zirconia,0.060439394397268136,0.4332
86,Q Zirconia,0.07045031843543934,0.28089
87,Q Zirconia,0.08119123784161214,0.18209
88,Q Zirconia,0.09043717329571148,0.13363
89,Q Zirconia,0.1013078847926734,0.09214
90,Source 30Q,0.05065599513702447,0.18563
91,Source 30Q,0.06075112693340462,0.13648
92,Source 30Q,0.07081601291684075,0.0942
93,Source 30Q,0.08024265378504598,0.08085
94,Source 30Q,0.11083771142293454,0.010066
95,TSK-Gel Q-5PW-HR,0.06080616817769995,0.9455
96,TSK-Gel Q-5PW-HR,0.07087875480203565,0.6326
97,TSK-Gel Q-5PW-HR,0.08122619057288832,0.4645
98,TSK-Gel Q-5PW-HR,0.09152731632755795,0.496
99,TSK-Gel Q-5PW-HR,0.10667576966567814,0.25848
100,TSK-Gel Q-5PW-HR,0.12156428927438274,0.21504
242,Poros 50 HQ,0.030696503668232192,0.5893
243,Poros 50 HQ,0.04050714951188884,0.38619
244,Poros 50 HQ,0.06088650754992694,0.20279
245,Poros 50 HQ,0.08127570344121328,0.12011
