x,DEAE Sepharose FF
0.97743,0.34903
1.09637,0.9001
1.15159,1.9822

x,Poros 50 D
0.88415,0.05831
0.97543,0.07996
1.09423,0.09869

x,Fractogel EMD DEAE (M)
0.99815,0.4914
1.04121,0.6065
1.0946,0.6918
1.15141,0.7686

x,MacroPrep DEAE Support
0.76909,0.2352
0.82249,0.29031
0.88617,0.29031
0.95857,0.5179
1.04125,0.7487
1.15326,1.5236

x,DEAE Ceramic HyperD 20
0.88454,0.4786
0.92072,0.5754
0.95519,0.7292
0.99651,0.7686
1.04134,1.2023
1.09483,2.3831

x,Toyopearl DEAE 650 M
0.99828,1.0267
1.04315,1.8806
1.09492,3.827
1.15016,9.613
1.21761,51.79
