paper,plot_letter,resin,a,b
6,a,DEAE Ceramic HyperD 20,8.418150851937622e+23,-10.86709374426935
6,a,Fractogel EMD DEAE (M),8.429337832420432e+18,-7.979185539081916
6,a,Toyopearl DEAE 650 M,1395372454892266.0,-7.021153707700049
6,b,Poros 50 D,11.181755992828977,-1.0721861299401505
6,b,DEAE Sepharose FF,100093881.68673672,-4.191957829935125
6,b,MacroPrep DEAE Support,11869.212286927132,-2.132555811561937
6,b,DEAE Ceramic HyperD 20,1812725.3861461873,-3.130813116451679
6,b,Fractogel EMD DEAE (M),148.59679108832864,-1.2298828117782992
6,b,Toyopearl DEAE 650 M,1539826389027562.5,-7.621374267619813
6,c,Poros 50 D,30198783753836.66,-5.8922096153086105
6,c,DEAE Sepharose FF,78103283652599.9,-6.377476768175072
6,c,MacroPrep DEAE Support,22383256735190.395,-5.543453495630481
6,c,DEAE Ceramic HyperD 20,1364013940567572.5,-6.747236987044382
6,c,Fractogel EMD DEAE (M),5.0121601633725126e+17,-8.083264663855564
6,c,Toyopearl DEAE 650 M,685697553938257.1,-6.8878857679748196
6,d,Poros 50 D,596.7119477234343,-1.88185854101903
6,d,DEAE Sepharose FF,93982.34371666548,-3.1606061557775953
6,d,MacroPrep DEAE Support,878.0656191329072,-2.584968911143022
6,d,DEAE Ceramic HyperD 20,111388726018.29152,-6.350334371668583
6,d,Fractogel EMD DEAE (M),2837697789.66271,-6.9358466710366296
6,d,Toyopearl DEAE 650 M,336296.60658028995,-3.441260723034101
