resin,protein,tis_M,kprime,ln(kprime),ln(tis_mM)
Fractogel EMD TMAE 650s,aprotinin,0.055906524291384804,14.716,2.688935337242528,4.023681086971028
Fractogel EMD TMAE 650s,aprotinin,0.060840573361563365,3.1945,1.161430581060261,4.108256891435499
Fractogel EMD TMAE 650s,aprotinin,0.0712890485763577,0.763,-0.27049724769768,4.266742719218594
Fractogel EMD TMAE 650s,aprotinin,0.08077674922050437,0.6151,-0.4859704227678145,4.391689166945035
Macro-Prep 25Q,aprotinin,0.05144297546170071,1198.1,7.088492247645854,3.940473921602161
Macro-Prep 25Q,aprotinin,0.07098189251921834,14.351,2.6638196261887948,4.262424809573788
Macro-Prep 25Q,aprotinin,0.09156922175318431,1.3468,0.29773140830478234,4.517095208155757
Macro-Prep 25Q,aprotinin,0.11041793187213604,0.5825,-0.5404260935422814,4.7042725470313025
Macro-Prep 25Q,aprotinin,0.1316621023804508,0.3442,-1.066532395204698,4.880238810167221
Macro-Prep 25Q,aprotinin,0.15087962823259604,0.23746,-1.4377560907444908,5.016482354888183
Poros QE/M,aprotinin,0.0713363437270386,3.2075,1.1654918175076545,4.267405927244186
Poros QE/M,aprotinin,0.09052231375033945,1.0166,0.01646372603066503,4.505596381091999
Poros QE/M,aprotinin,0.11103955228852516,0.4984,-0.6963523115088937,4.7098864647666225
Poros QE/M,aprotinin,0.13090890049614473,0.31335,-1.1604345023114526,4.874501665227279
Q HyperD 20,aprotinin,0.04114041222693052,22.606,3.1182153577685394,3.7169909042750118
Q HyperD 20,aprotinin,0.05101260011222772,3.385,1.2193539063642382,3.93207266323385
Q HyperD 20,aprotinin,0.0604536441456691,0.7138,-0.3371524679260771,4.101876858877714
Q HyperD 20,aprotinin,0.0708446094336682,0.22578,-1.488194205148736,4.260488879031387
Q Sepharose FF,aprotinin,0.05099439061703213,1.5511,0.43896435664856803,3.9317156387738823
Q Sepharose FF,aprotinin,0.07087021537458452,0.4928,-0.707651866762827,4.260850251826782
Q Sepharose FF,aprotinin,0.0807187194782342,0.13324,-2.015603265656658,4.390970512171186
Q Sepharose FF,aprotinin,0.09091157031555405,0.05078,-2.9802527027056045,4.509887279282947
Q Zirconia,aprotinin,0.040854679903582956,1.449,0.3708736633385454,3.7100213778673643
Q Zirconia,aprotinin,0.050686806224339805,0.7331,-0.3104731607525962,3.9256656444693045
Q Zirconia,aprotinin,0.060439394397268136,0.4332,-0.8365557638553016,4.101641117454738
Q Zirconia,aprotinin,0.07045031843543934,0.28089,-1.2697921453632297,4.254907758354904
Q Zirconia,aprotinin,0.08119123784161214,0.18209,-1.703254208638385,4.396807332990576
Q Zirconia,aprotinin,0.09043717329571148,0.13363,-2.0126804921891677,4.504655391898228
Q Zirconia,aprotinin,0.1013078847926734,0.09214,-2.384446119474366,4.618164244283549
Source 30Q,aprotinin,0.05065599513702447,0.18563,-1.6839998337610054,3.9250575876986065
Source 30Q,aprotinin,0.06075112693340462,0.13648,-1.9915771952387682,4.106785632392711
Source 30Q,aprotinin,0.07081601291684075,0.0942,-2.3623350973998196,4.260085146268656
Source 30Q,aprotinin,0.08024265378504598,0.08085,-2.515159692959021,4.385055216200571
Source 30Q,aprotinin,0.11083771142293454,0.010066,-4.598591870627969,4.708067072207945
TSK-Gel Q-5PW-HR,aprotinin,0.06080616817769995,0.9455,-0.05604139088362486,4.107691234117506
TSK-Gel Q-5PW-HR,aprotinin,0.07087875480203565,0.6326,-0.4579169681105885,4.2609707384511415
TSK-Gel Q-5PW-HR,aprotinin,0.08122619057288832,0.4645,-0.7667937207282438,4.397237739162586
TSK-Gel Q-5PW-HR,aprotinin,0.09152731632755795,0.496,-0.7011793522572096,4.51663746682654
TSK-Gel Q-5PW-HR,aprotinin,0.10667576966567814,0.25848,-1.3529369574658943,4.669794044100092
TSK-Gel Q-5PW-HR,aprotinin,0.12156428927438274,0.21504,-1.5369312216473523,4.800443252671087
Express-Ion Q,lipolase,0.12469605336991083,13.217,2.5815038797756698,4.825879203186841
Express-Ion Q,lipolase,0.1508250128201261,3.536,1.262996144775397,5.016120309326829
Express-Ion Q,lipolase,0.17623319175933597,1.1825,0.16763084138395107,5.171808071240284
Express-Ion Q,lipolase,0.2000040000800016,0.5582,-0.5830379578799152,5.298337366748039
Express-Ion Q,lipolase,0.2259223279036667,0.16871,-1.7795740143642536,5.4201912583579634
Express-Ion Q,lipolase,0.2519653295706511,0.09559,-2.347687066906466,5.529291496977435
Fractogel EMD TMAE 650s,lipolase,0.11544011544011544,4.7031,1.548221865760458,4.748751914466116
Fractogel EMD TMAE 650s,lipolase,0.12584631647831668,2.7753,1.0207588494632456,4.835061452009683
Fractogel EMD TMAE 650s,lipolase,0.13560425254935995,1.8496,0.6149693994959212,4.909740735998031
Fractogel EMD TMAE 650s,lipolase,0.15561053794562968,0.986,-0.014098924379501648,5.047356334037394
Fractogel EMD TMAE 650s,lipolase,0.17545090883570777,0.6841,-0.37965117321518466,5.16735928204264
Fractogel EMD TMAE 650s,lipolase,0.19552253397204028,0.5471,-0.6031236779123568,5.275675636067212
Fractogel EMD TMAE 650s,lipolase,0.21422450728363324,0.42873,-0.846927928820324,5.367024564557828
Macro-Prep 25Q,lipolase,0.17365934981939427,5.299,1.6675181235106251,5.157095620639508
Macro-Prep 25Q,lipolase,0.19477989871445264,3.0024,1.099411968838674,5.271870196533189
Macro-Prep 25Q,lipolase,0.2135839384878257,1.6337,0.49084738105032577,5.364029909913418
Macro-Prep 25Q,lipolase,0.23414268655318551,1.0039,0.0038924147153438535,5.455930701117353
Macro-Prep 25Q,lipolase,0.25374914359664036,0.6556,-0.4222044321124625,5.536346155361692
Macro-Prep 25Q,lipolase,0.27341079972658916,0.44587,-0.8077278492712003,5.610975425069995
Poros QE/M,lipolase,0.27206442485580584,4.0618,1.4016262251168723,5.606038894337544
Poros QE/M,lipolase,0.29648956356736245,2.7622,1.0160274636616913,5.692012019057286
Poros QE/M,lipolase,0.32306002455256183,2.0371,0.7115272278413749,5.777838140485615
Poros QE/M,lipolase,0.34409194136673316,1.5333,0.4274222754602066,5.840908893077678
Poros QE/M,lipolase,0.37065866043960116,1.1776,0.16347846899247473,5.915281586375695
Poros QE/M,lipolase,0.3969671708149736,0.9419,-0.05985616715336565,5.9838535841066465
Poros QE/M,lipolase,0.4203446826397646,0.7689,-0.2627943569440019,6.041075047661316
Q HyperD 20,lipolase,0.14395324398635323,6.114,1.8105812234686427,4.969488552312102
Q HyperD 20,lipolase,0.1490623975196017,4.2439,1.4454826577974125,5.004364993582897
Q HyperD 20,lipolase,0.15343541903212937,3.327,1.2020709970363397,5.03327975558081
Q HyperD 20,lipolase,0.16537946317826252,1.9634,0.674677664276284,5.108242610299289
Q HyperD 20,lipolase,0.18464492780383324,0.6839,-0.3799435708780868,5.218434671675865
Q Sepharose FF,lipolase,0.14571524327159863,4.2444,1.4456004670172982,4.981654328673167
Q Sepharose FF,lipolase,0.15705243980965244,2.556,0.9384435365152884,5.056579761105325
Q Sepharose FF,lipolase,0.16653898677680445,1.0907,0.08681969195256017,5.115229436826181
Q Sepharose FF,lipolase,0.17549709552306908,0.6058,-0.5012053803890001,5.16762249304287
Q Sepharose FF,lipolase,0.19756598703967124,0.06645,-2.711305493822883,5.286072640131599
Q Zirconia,lipolase,0.13523016173527344,6.369,1.8514424713892288,4.9069782284859835
Q Zirconia,lipolase,0.14572161342970388,4.1592,1.425322748087369,4.981698044201658
Q Zirconia,lipolase,0.15531326685925512,2.3098,0.83716094069885,5.045444153803137
Q Zirconia,lipolase,0.16543965588551576,1.6695,0.5125241804015721,5.108606511322227
Q Zirconia,lipolase,0.18561140396465958,0.8376,-0.17721461942580993,5.223655262239614
Source 30Q,lipolase,0.11519808310389715,11.949,2.480647592867617,4.746653108400234
Source 30Q,lipolase,0.12494689756853339,5.418,1.6897267436629033,4.827888827589221
Source 30Q,lipolase,0.13620266957232363,3.2624,1.1824631208380536,4.914143993907494
Source 30Q,lipolase,0.14936073604970726,1.7395,0.5535977156098597,5.00636442724561
Source 30Q,lipolase,0.15635505104992417,1.4788,0.3912309480803397,5.052129389425668
Source 30Q,lipolase,0.17535553334385467,0.8725,-0.13639262490555476,5.1668155320840565
TSK-Gel Q-5PW-HR,lipolase,0.11616020815909302,3.6875,1.3049487216659381,4.754970343078091
TSK-Gel Q-5PW-HR,lipolase,0.13649454704284564,1.2584,0.229841072761931,4.916284665422994
