paper,plot_letter,protein,iex_type,resin,x,tis_M,kprime
1,b,aprotinin,aex,Macro-Prep 25Q,7.5952,0.1316621023804508,0.3442
1,b,aprotinin,aex,Macro-Prep 25Q,6.6278,0.15087962823259604,0.23746
1,b,aprotinin,aex,Poros QE/M,14.0181,0.0713363437270386,3.2075
1,b,aprotinin,aex,Poros QE/M,11.047,0.09052231375033945,1.0166
1,b,aprotinin,aex,Poros QE/M,9.0058,0.11103955228852516,0.4984
1,b,aprotinin,aex,Poros QE/M,7.6389,0.13090890049614473,0.31335
1,b,aprotinin,aex,Q HyperD 20,24.307,0.04114041222693052,22.606
1,b,aprotinin,aex,Q HyperD 20,19.603,0.05101260011222772,3.385
1,b,aprotinin,aex,Q HyperD 20,16.5416,0.0604536441456691,0.7138
1,b,aprotinin,aex,Q HyperD 20,14.1154,0.0708446094336682,0.22578
1,b,aprotinin,aex,Q Sepharose FF,19.61,0.05099439061703213,1.5511
1,b,aprotinin,aex,Q Sepharose FF,14.1103,0.07087021537458452,0.4928
1,b,aprotinin,aex,Q Sepharose FF,12.3887,0.0807187194782342,0.13324
1,b,aprotinin,aex,Q Sepharose FF,10.9997,0.09091157031555405,0.05078
1,b,aprotinin,aex,Q Zirconia,24.477,0.040854679903582956,1.449
1,b,aprotinin,aex,Q Zirconia,19.729,0.050686806224339805,0.7331
1,b,aprotinin,aex,Q Zirconia,16.5455,0.060439394397268136,0.4332
1,b,aprotinin,aex,Q Zirconia,14.1944,0.07045031843543934,0.28089
1,b,aprotinin,aex,Q Zirconia,12.3166,0.08119123784161214,0.18209
1,b,aprotinin,aex,Q Zirconia,11.0574,0.09043717329571148,0.13363
1,b,aprotinin,aex,Q Zirconia,9.8709,0.1013078847926734,0.09214
1,b,aprotinin,aex,Source 30Q,19.741,0.05065599513702447,0.18563
1,b,aprotinin,aex,Source 30Q,16.4606,0.06075112693340462,0.13648
1,b,aprotinin,aex,Source 30Q,14.1211,0.07081601291684075,0.0942
1,b,aprotinin,aex,Source 30Q,12.4622,0.08024265378504598,0.08085
1,b,aprotinin,aex,Source 30Q,9.0222,0.11083771142293454,0.010066
1,b,aprotinin,aex,TSK-Gel Q-5PW-HR,16.4457,0.06080616817769995,0.9455
1,b,aprotinin,aex,TSK-Gel Q-5PW-HR,14.1086,0.07087875480203565,0.6326
1,b,aprotinin,aex,TSK-Gel Q-5PW-HR,12.3113,0.08122619057288832,0.4645
1,b,aprotinin,aex,TSK-Gel Q-5PW-HR,10.9257,0.09152731632755795,0.496
1,b,aprotinin,aex,TSK-Gel Q-5PW-HR,9.3742,0.10667576966567814,0.25848
1,b,aprotinin,aex,TSK-Gel Q-5PW-HR,8.2261,0.12156428927438274,0.21504
