pH,alpha,B,nu,species,data_set,phi_alpha,phi
5.0,2.1803054468742263e+19,-6.993300038155843,6.993300038155843,lysozyme,mine,2.503583734983782e+18,0.11482720178372349
7.0,1.9355520547993908e+16,-6.0548400310298245,6.0548400310298245,lysozyme,mine,2222540263593502.8,0.11482720178372349
9.0,554143795537641.6,-5.6657579587143605,5.6657579587143605,lysozyme,mine,63630781427399.19,0.11482720178372349
5.5,1.482861304942645e+33,-12.982039752599576,12.982039752599576,hmw,saleh,5.4845555114317015e+32,0.36986301369863017
5.5,1.7091385130143773e+20,-7.93434590934385,7.93434590934385,monomer,saleh,6.321471212518931e+19,0.36986301369863017
5.8,6.108992053661612e+27,-11.17403969477668,11.17403969477668,hmw,saleh,2.2594902116282676e+27,0.36986301369863017
5.8,5.329392643371128e+18,-7.587223456042921,7.587223456042921,monomer,saleh,1.9711452242605542e+18,0.36986301369863017
6.1,6.161069560928392e+21,-8.938614934782146,8.938614934782146,hmw,saleh,2.2787517554118712e+21,0.36986301369863017
6.1,8.149163261345701e+16,-7.04045277775286,7.04045277775286,monomer,saleh,3.0140740829634788e+16,0.36986301369863017
