data_set,iex_type,resin,protein,pH,tis_mM,kprime
mine,aex,Poros XQ,ovalbumin,7,245.1,1.8089
mine,aex,Poros XQ,ovalbumin,7,296.05,0.80145
mine,cex,SP Sepharose FF,lysozyme,5,229.30075,130.70845569762
mine,cex,SP Sepharose FF,lysozyme,5,254.628,60.3592063552335
mine,cex,SP Sepharose FF,lysozyme,5,279.95525,27.5891283111547
mine,cex,SP Sepharose FF,lysozyme,5,305.2825,15.1784171221441
mine,cex,SP Sepharose FF,lysozyme,5,330.60975,8.35015320192904
mine,cex,SP Sepharose FF,lysozyme,5,355.937,5.31849700768603
mine,cex,SP Sepharose FF,lysozyme,5,381.26425,3.21668460797792
mine,cex,SP Sepharose FF,lysozyme,7,173.8872,111.171642084406
mine,cex,SP Sepharose FF,lysozyme,7,204.249,34.4115237497269
mine,cex,SP Sepharose FF,lysozyme,7,229.5505,23.2734608874711
mine,cex,SP Sepharose FF,lysozyme,7,254.852,12.7573543645478
mine,cex,SP Sepharose FF,lysozyme,7,305.455,3.43262766032952
mine,cex,SP Sepharose FF,lysozyme,7,356.058,1.88333349336032
mine,cex,SP Sepharose FF,lysozyme,7,406.661,0.867889800084797
mine,cex,SP Sepharose FF,lysozyme,7,457.264,0.508334973482597
mine,cex,SP Sepharose FF,lysozyme,7,507.867,0.344643966189694
mine,cex,SP Sepharose FF,lysozyme,9,120.039,83.7237617785017
mine,cex,SP Sepharose FF,lysozyme,9,145.12125,27.0320039813091
mine,cex,SP Sepharose FF,lysozyme,9,170.2035,10.7380664701682
mine,cex,SP Sepharose FF,lysozyme,9,195.28575,5.22192039159895
mine,cex,SP Sepharose FF,lysozyme,9,220.368,2.83335894581567
mine,cex,SP Sepharose FF,BMS mAb D,7,95.529139832534,173.158603923188
mine,cex,SP Sepharose FF,BMS mAb D,7,113.838144169028,40.5782566416993
mine,cex,SP Sepharose FF,BMS mAb D,7,138.808470189072,9.5936651322437
mine,cex,SP Sepharose FF,BMS mAb D,7,175.457421120231,2.16715210596858
mine,cex,SP Sepharose FF,BMS mAb D,7,193.175385399192,1.26556020620426
mine,cex,SP Sepharose FF,BMS mAb D,7,246.299034699043,0.418191954816287
DePhillips,cex,SP Sepharose FF,alpha-chymotrypsinogen A,7,85,51.8292812124445
DePhillips,cex,SP Sepharose FF,alpha-chymotrypsinogen A,7,110,14.5423698582907
DePhillips,cex,SP Sepharose FF,alpha-chymotrypsinogen A,7,135,6.20162048986167
DePhillips,cex,SP Sepharose FF,alpha-chymotrypsinogen A,7,160,2.72492896877187
DePhillips,cex,SP Sepharose FF,alpha-chymotrypsinogen A,7,185,1.36979376771286
DePhillips,cex,SP Sepharose FF,alpha-chymotrypsinogen A,7,210,0.753208454067645
DePhillips,cex,SP Sepharose FF,alpha-chymotrypsinogen A,7,260,0.335942682650531
DePhillips,cex,SP Sepharose FF,alpha-chymotrypsinogen A,7,310,0.217748506995187
DePhillips,cex,SP Sepharose FF,alpha-chymotrypsinogen A,7,360,0.09285925305003
DePhillips,cex,SP Sepharose FF,alpha-chymotrypsinogen A,7,410,0.064861230857237
DePhillips,cex,SP Spherodex M,alpha-chymotrypsinogen A,7,135,62.214136501392
DePhillips,cex,SP Spherodex M,alpha-chymotrypsinogen A,7,160,26.9307890288952
DePhillips,cex,SP Spherodex M,alpha-chymotrypsinogen A,7,185,12.3762501199603
DePhillips,cex,SP Spherodex M,alpha-chymotrypsinogen A,7,210,6.31508321533116
DePhillips,cex,SP Spherodex M,alpha-chymotrypsinogen A,7,260,2.25075942661347
DePhillips,cex,SP Spherodex M,alpha-chymotrypsinogen A,7,310,1.06573462938593
DePhillips,cex,SP Spherodex M,alpha-chymotrypsinogen A,7,360,0.86446831070799
DePhillips,cex,SP Spherodex M,alpha-chymotrypsinogen A,7,410,0.680532824702109
DePhillips,cex,SP Spherodex M,alpha-chymotrypsinogen A,7,510,0.235401419697216
DePhillips,cex,SP Toyopearl 650m,alpha-chymotrypsinogen A,7,45,68.4621203265148
DePhillips,cex,SP Toyopearl 650m,alpha-chymotrypsinogen A,7,60,16.0538923124783
DePhillips,cex,SP Toyopearl 650m,alpha-chymotrypsinogen A,7,85,5.38952319637275
DePhillips,cex,SP Toyopearl 650m,alpha-chymotrypsinogen A,7,135,0.831515492894708
DePhillips,cex,SP Toyopearl 650m,alpha-chymotrypsinogen A,7,160,0.393722600989905
DePhillips,cex,SP Toyopearl 650m,alpha-chymotrypsinogen A,7,185,0.23330301188022
DePhillips,cex,SP Toyopearl 650m,alpha-chymotrypsinogen A,7,210,0.165413269353287
DePhillips,cex,SP Toyopearl 650m,alpha-chymotrypsinogen A,7,260,0.110468980363172
DePhillips,cex,SP Toyopearl 650m,alpha-chymotrypsinogen A,7,310,0.083151549289471
DePhillips,cex,Fractogel EMD SO3-,alpha-chymotrypsinogen A,7,85,84.4333283843381
DePhillips,cex,Fractogel EMD SO3-,alpha-chymotrypsinogen A,7,110,24.4092204449325
DePhillips,cex,Fractogel EMD SO3-,alpha-chymotrypsinogen A,7,135,14.6816176487793
DePhillips,cex,Fractogel EMD SO3-,alpha-chymotrypsinogen A,7,160,6.64697292257433
DePhillips,cex,Fractogel EMD SO3-,alpha-chymotrypsinogen A,7,185,3.34136492651479
DePhillips,cex,Fractogel EMD SO3-,alpha-chymotrypsinogen A,7,210,1.86497884401924
DePhillips,cex,Fractogel EMD SO3-,alpha-chymotrypsinogen A,7,260,0.738029819702234
DePhillips,cex,Fractogel EMD SO3-,alpha-chymotrypsinogen A,7,310,0.376585773690749
DePhillips,cex,Fractogel EMD SO3-,alpha-chymotrypsinogen A,7,360,0.247772960277753
DePhillips,cex,Fractogel EMD SO3-,alpha-chymotrypsinogen A,7,410,0.189305795388643
DePhillips,cex,Fractogel EMD SO3-,alpha-chymotrypsinogen A,7,460,0.093750568426936
DePhillips,cex,CM Sepharose FF,alpha-chymotrypsinogen A,7,60,77.6048442807157
DePhillips,cex,CM Sepharose FF,alpha-chymotrypsinogen A,7,85,13.9039703125206
DePhillips,cex,CM Sepharose FF,alpha-chymotrypsinogen A,7,110,4.59852796401969
DePhillips,cex,CM Sepharose FF,alpha-chymotrypsinogen A,7,135,2.27729258368706
DePhillips,cex,CM Sepharose FF,alpha-chymotrypsinogen A,7,160,1.11106337506526
DePhillips,cex,CM Sepharose FF,alpha-chymotrypsinogen A,7,185,0.62013869614135
DePhillips,cex,CM Sepharose FF,alpha-chymotrypsinogen A,7,210,0.426725731760602
DePhillips,cex,CM Sepharose FF,alpha-chymotrypsinogen A,7,260,0.26445929253778
DePhillips,cex,CM Sepharose FF,alpha-chymotrypsinogen A,7,310,0.166363800023671
DePhillips,cex,CM Sepharose FF,alpha-chymotrypsinogen A,7,410,0.092855756338598
DePhillips,cex,CM Spherodex M,alpha-chymotrypsinogen A,7,85,20.6512362465042
DePhillips,cex,CM Spherodex M,alpha-chymotrypsinogen A,7,110,6.24390166814707
DePhillips,cex,CM Spherodex M,alpha-chymotrypsinogen A,7,135,3.18607544108389
DePhillips,cex,CM Spherodex M,alpha-chymotrypsinogen A,7,160,1.65019799448544
DePhillips,cex,CM Spherodex M,alpha-chymotrypsinogen A,7,260,0.304632374016477
DePhillips,cex,CM Spherodex M,alpha-chymotrypsinogen A,7,310,0.157781490725252
DePhillips,cex,CM Spherodex M,alpha-chymotrypsinogen A,7,360,0.084202707249275
DePhillips,cex,CM Toyopearl 650m,alpha-chymotrypsinogen A,7,45,65.2340158550379
DePhillips,cex,CM Toyopearl 650m,alpha-chymotrypsinogen A,7,60,19.1427406224069
DePhillips,cex,CM Toyopearl 650m,alpha-chymotrypsinogen A,7,85,5.45185271800346
DePhillips,cex,CM Toyopearl 650m,alpha-chymotrypsinogen A,7,110,1.88583683727514
DePhillips,cex,CM Toyopearl 650m,alpha-chymotrypsinogen A,7,135,0.962285883486162
DePhillips,cex,CM Toyopearl 650m,alpha-chymotrypsinogen A,7,160,0.529132107150648
DePhillips,cex,CM Toyopearl 650m,alpha-chymotrypsinogen A,7,185,0.318261506974571
DePhillips,cex,CM Toyopearl 650m,alpha-chymotrypsinogen A,7,210,0.236001147614246
DePhillips,cex,CM Toyopearl 650m,alpha-chymotrypsinogen A,7,260,0.144086772976825
DePhillips,cex,CM Toyopearl 650m,alpha-chymotrypsinogen A,7,310,0.113431614837978
DePhillips,cex,CM Toyopearl 650m,alpha-chymotrypsinogen A,7,360,0.100643125359721
DePhillips,cex,CM Toyopearl 650m,alpha-chymotrypsinogen A,7,410,0.046947677742119
DePhillips,cex,CM Toyopearl 650m,alpha-chymotrypsinogen A,7,460,0.050592264040932
DePhillips,cex,Fractogel EMD COO- (M),alpha-chymotrypsinogen A,7,60,34.4597789910925
DePhillips,cex,Fractogel EMD COO- (M),alpha-chymotrypsinogen A,7,85,8.32592487191891
DePhillips,cex,Fractogel EMD COO- (M),alpha-chymotrypsinogen A,7,110,3.01212151201805
DePhillips,cex,Fractogel EMD COO- (M),alpha-chymotrypsinogen A,7,135,1.38424348371116
DePhillips,cex,Fractogel EMD COO- (M),alpha-chymotrypsinogen A,7,160,0.716955973874427
DePhillips,cex,Fractogel EMD COO- (M),alpha-chymotrypsinogen A,7,185,0.418535680404915
DePhillips,cex,Fractogel EMD COO- (M),alpha-chymotrypsinogen A,7,210,0.275367377010065
DePhillips,cex,Fractogel EMD COO- (M),alpha-chymotrypsinogen A,7,260,0.165627515689398
DePhillips,cex,Fractogel EMD COO- (M),alpha-chymotrypsinogen A,7,310,0.098143713780774
DePhillips,cex,Fractogel EMD COO- (M),alpha-chymotrypsinogen A,7,360,0.032459549478987
DePhillips,cex,SP-550 C,alpha-chymotrypsinogen A,7,110,41.7585516246226
DePhillips,cex,SP-550 C,alpha-chymotrypsinogen A,7,135,24.015156820742
DePhillips,cex,SP-550 C,alpha-chymotrypsinogen A,7,160,8.68811232229775
DePhillips,cex,SP-550 C,alpha-chymotrypsinogen A,7,185,2.70667073287677
DePhillips,cex,SP-550 C,alpha-chymotrypsinogen A,7,235,0.881912355283039
DePhillips,cex,SP-550 C,alpha-chymotrypsinogen A,7,260,0.463666188033411
DePhillips,cex,SP-550 C,alpha-chymotrypsinogen A,7,360,0.262691141048273
DePhillips,cex,SP-550 C,alpha-chymotrypsinogen A,7,410,0.144445969101322
DePhillips,cex,SP-550 C,alpha-chymotrypsinogen A,7,460,0.059785439602279
DePhillips,cex,Cellufine sulfate,alpha-chymotrypsinogen A,7,85,102.534495758842
DePhillips,cex,Cellufine sulfate,alpha-chymotrypsinogen A,7,110,25.3717252626766
DePhillips,cex,Cellufine sulfate,alpha-chymotrypsinogen A,7,135,10.9428387587814
DePhillips,cex,Cellufine sulfate,alpha-chymotrypsinogen A,7,160,5.16463935167874
DePhillips,cex,Cellufine sulfate,alpha-chymotrypsinogen A,7,185,2.51188643150958
DePhillips,cex,Cellufine sulfate,alpha-chymotrypsinogen A,7,210,1.39845984283744
DePhillips,cex,Cellufine sulfate,alpha-chymotrypsinogen A,7,260,0.496192276544206
DePhillips,cex,Cellufine sulfate,alpha-chymotrypsinogen A,7,310,0.195568993202892
DePhillips,cex,Cellufine sulfate,alpha-chymotrypsinogen A,7,410,0.043564225760816
DePhillips,cex,SP Sepharose FF,cytochrome c,7,135,45.688456794657
DePhillips,cex,SP Sepharose FF,cytochrome c,7,160,17.4504443162422
DePhillips,cex,SP Sepharose FF,cytochrome c,7,185,7.86423511972244
DePhillips,cex,SP Sepharose FF,cytochrome c,7,210,4.11923424456363
DePhillips,cex,SP Sepharose FF,cytochrome c,7,235,2.36132893722276
DePhillips,cex,SP Sepharose FF,cytochrome c,7,260,1.52670978564403
DePhillips,cex,SP Sepharose FF,cytochrome c,7,310,0.7529852851056
DePhillips,cex,SP Sepharose FF,cytochrome c,7,360,0.465357255258161
DePhillips,cex,SP Sepharose FF,cytochrome c,7,410,0.354998476511173
DePhillips,cex,SP Sepharose FF,cytochrome c,7,460,0.279078570181788
DePhillips,cex,SP Sepharose FF,cytochrome c,7,510,0.262788580665954
DePhillips,cex,SP Spherodex M,cytochrome c,7,185,77.2751785745794
DePhillips,cex,SP Spherodex M,cytochrome c,7,210,34.8249111722271
DePhillips,cex,SP Spherodex M,cytochrome c,7,235,19.6652746995276
DePhillips,cex,SP Spherodex M,cytochrome c,7,260,11.9720912229068
DePhillips,cex,SP Spherodex M,cytochrome c,7,285,7.62500297287981
DePhillips,cex,SP Spherodex M,cytochrome c,7,310,5.23552234332835
DePhillips,cex,SP Spherodex M,cytochrome c,7,360,2.95644645202069
DePhillips,cex,SP Spherodex M,cytochrome c,7,410,1.8829553305345
DePhillips,cex,SP Spherodex M,cytochrome c,7,460,1.29285558936504
DePhillips,cex,SP Spherodex M,cytochrome c,7,510,0.914829198205775
DePhillips,cex,SP Toyopearl 650m,cytochrome c,7,60,106.077314915672
DePhillips,cex,SP Toyopearl 650m,cytochrome c,7,85,19.6844152522846
DePhillips,cex,SP Toyopearl 650m,cytochrome c,7,110,5.40060629261692
DePhillips,cex,SP Toyopearl 650m,cytochrome c,7,135,2.06273063252774
DePhillips,cex,SP Toyopearl 650m,cytochrome c,7,160,0.849380953416912
DePhillips,cex,SP Toyopearl 650m,cytochrome c,7,185,0.444900115107257
DePhillips,cex,SP Toyopearl 650m,cytochrome c,7,210,0.266810255121017
DePhillips,cex,SP Toyopearl 650m,cytochrome c,7,235,0.180464805638023
DePhillips,cex,SP Toyopearl 650m,cytochrome c,7,260,0.135613373050091
DePhillips,cex,SP Toyopearl 650m,cytochrome c,7,310,0.097412013014202
DePhillips,cex,SP Toyopearl 650m,cytochrome c,7,360,0.064904157687915
DePhillips,cex,SP Toyopearl 650m,cytochrome c,7,410,0.035034225266353
DePhillips,cex,Fractogel EMD SO3-,cytochrome c,7,160,39.2662805065078
DePhillips,cex,Fractogel EMD SO3-,cytochrome c,7,185,19.0774254331858
DePhillips,cex,Fractogel EMD SO3-,cytochrome c,7,210,9.99262902827118
DePhillips,cex,Fractogel EMD SO3-,cytochrome c,7,235,5.90323081987271
DePhillips,cex,Fractogel EMD SO3-,cytochrome c,7,260,3.59384849513895
DePhillips,cex,Fractogel EMD SO3-,cytochrome c,7,285,2.43080300595485
DePhillips,cex,Fractogel EMD SO3-,cytochrome c,7,310,1.74606241792668
DePhillips,cex,Fractogel EMD SO3-,cytochrome c,7,360,0.985983766655898
DePhillips,cex,Fractogel EMD SO3-,cytochrome c,7,410,0.64714226517029
DePhillips,cex,Fractogel EMD SO3-,cytochrome c,7,460,0.444344454770953
DePhillips,cex,Fractogel EMD SO3-,cytochrome c,7,510,0.314412471698281
DePhillips,cex,CM Sepharose FF,cytochrome c,7,85,88.4496394701893
DePhillips,cex,CM Sepharose FF,cytochrome c,7,110,29.0660533946547
DePhillips,cex,CM Sepharose FF,cytochrome c,7,135,9.13032143043875
DePhillips,cex,CM Sepharose FF,cytochrome c,7,160,3.81659491225436
DePhillips,cex,CM Sepharose FF,cytochrome c,7,185,1.93984069978496
DePhillips,cex,CM Sepharose FF,cytochrome c,7,210,1.12887555036874
DePhillips,cex,CM Sepharose FF,cytochrome c,7,260,0.493669239295824
DePhillips,cex,CM Sepharose FF,cytochrome c,7,310,0.30971772962345
