IS(M),pH,Keq
0.175036214,7.0,2.53564E-06
0.205353325,7.0,8.19208E-07
0.215462248,7.0,4.09604E-07
0.243012859,7.0,1.9505E-07
0.325052491,7.0,5.07129E-08
0.355768054,7.0,3.51089E-08
0.407761501,7.0,1.9505E-08
0.456310851,7.0,1.1703E-08
