"x","basic pH 7","kprime","x",,,0.453488372093023
61.891,4.6403,2.10432209302326,61.891,2.10432209302326,,
67.739,2.4512,1.11159069767442,67.739,1.11159069767442,,
73.587,1.469,0.666174418604651,73.587,0.666174418604651,,
81.774,0.8446,0.383016279069768,81.774,0.383016279069768,,
,,,,,,
"x","basic pH 6.5",,"x",,,
110.819,2.1803,0.988740697674419,110.819,0.988740697674419,,
119.396,1.1712,0.531125581395349,119.396,0.531125581395349,,
129.142,0.8383,0.380159302325581,129.142,0.380159302325581,,
138.694,0.5055,0.229238372093023,138.694,0.229238372093023,,
,,,,,,
"x","main pH 6.5",,"x",,,
111.988,1.4905,0.675924418604651,111.988,0.675924418604651,,
119.786,0.9722,0.440881395348837,119.786,0.440881395348837,,
128.363,0.7058,0.320072093023256,128.363,0.320072093023256,,
139.669,0.5717,0.259259302325581,139.669,0.259259302325581,,
,,,,,,
"x","main pH 7",,"x",,,
61.891,2.0409,0.925524418604651,61.891,0.925524418604651,,
67.934,1.2576,0.570306976744186,67.934,0.570306976744186,,
74.172,0.8456,0.383469767441861,74.172,0.383469767441861,,
81.969,0.6058,0.274723255813954,81.969,0.274723255813954,,
