resin,protein,tis_M,kprime,ln(kprime),ln(tis_mM)
SP Sepharose BB,anti-FVII mAb,0.11837227652368636,0.3957,-0.9270989305907584,4.7738345440499055
SP Sepharose BB,anti-FVII mAb,0.1433639637737845,0.17368,-1.7505407534121007,4.96538659793608
Source 30S,anti-FVII mAb,0.06853146249919753,2.4779,0.9074114272675599,4.2272929463768385
Source 30S,anti-FVII mAb,0.09395502230761585,0.4654,-0.7648580281139458,4.542816181669813
Source 30S,anti-FVII mAb,0.1177063790780569,0.2591,-1.3505411914140728,4.76819321057207
Source 30S,anti-FVII mAb,0.1433639637737845,0.07252,-2.6238928930954866,4.96538659793608
TSKGel SP-5PW-HR20,anti-FVII mAb,0.1177063790780569,0.3957,-0.9270989305907584,4.76819321057207
TSKGel SP-5PW-HR20,anti-FVII mAb,0.14256075936021884,0.15216,-1.882822680185057,4.959768290309174
TSKGel SP-5PW-HR20,anti-FVII mAb,0.16786494016787726,0.07832,-2.546952280759882,5.123159728508032
Toyopearl SP 550c,anti-FVII mAb,0.14746195930118133,2.7225,1.0015505758249785,4.9935702394743275
Toyopearl SP 550c,anti-FVII mAb,0.15777565797587073,1.331,0.2859305394129745,5.061174137804632
Toyopearl SP 550c,anti-FVII mAb,0.16786494016787726,0.8042,-0.21790728451896338,5.123159728508032
Toyopearl SP 550c,anti-FVII mAb,0.19434796610409136,0.28583,-1.2523580504857315,5.269650192124313
Toyopearl SP 550c,anti-FVII mAb,0.21876105039500426,0.10716,-2.233432234305729,5.387980040053277
SP Sepharose BB,aprotinin,0.29367704390795407,8.417,2.130253470229439,5.682480673447215
SP Sepharose BB,aprotinin,0.3178556971499816,5.662,1.7337771866897078,5.761597497242491
SP Sepharose BB,aprotinin,0.3459951411598073,3.4272,1.2317436012712926,5.8464247320683915
SP Sepharose BB,aprotinin,0.370279782537947,2.3673,0.861750065212962,5.914258888907996
SP Sepharose BB,aprotinin,0.39403064537737437,1.77,0.5709795465857378,5.976428686418835
SP Sepharose XL,aprotinin,0.29211240476828637,5.235,1.6553668443225003,5.677138676031469
SP Sepharose XL,aprotinin,0.3073689545775859,3.713,1.3118401751949431,5.728048832437568
SP Sepharose XL,aprotinin,0.31796549957959497,3.2531,1.1796083878733197,5.76194288500644
SP Sepharose XL,aprotinin,0.34215272248772804,2.8494,1.0471084458009943,5.835257194367371
SP Sepharose XL,aprotinin,0.36619296775290966,1.8184,0.5979569935561964,5.903160428759765
SP Sepharose XL,aprotinin,0.4169845846526065,1.1002,0.09549198145922072,6.033049253855559
Source 30S,aprotinin,0.2698112164667873,12.513,2.526768103882918,5.597722516174104
Source 30S,aprotinin,0.2937040938089672,7.185,1.9719955195309882,5.682572776850935
Source 30S,aprotinin,0.31969805935019735,4.465,1.4962692143284624,5.767376985825906
Source 30S,aprotinin,0.3440725293018625,3.084,1.1262274557010832,5.840852476143346
Source 30S,aprotinin,0.3682307054910995,2.0748,0.7298647634951082,5.908709658833881
TSKGel SP-5PW-HR20,aprotinin,0.29537245998459893,6.815,1.919126065148496,5.6882371361797
TSKGel SP-5PW-HR20,aprotinin,0.3196906981150898,4.707,1.5490507624190053,5.767353959974976
TSKGel SP-5PW-HR20,aprotinin,0.34213696613536776,3.0842,1.126292304441419,5.835211142665511
TSKGel SP-5PW-HR20,aprotinin,0.36822222676338234,2.1303,0.7562628148740206,5.908686632982951
TSKGel SP-5PW-HR20,aprotinin,0.3896368287770522,1.5928,0.4654934737678495,5.965215097015954
Toyopearl SP 550c,aprotinin,0.4187549945813812,10.93,2.391511302188447,6.037286010426668
Toyopearl SP 550c,aprotinin,0.4431492309931593,6.976,1.9424756866066786,6.093906577863391
Toyopearl SP 550c,aprotinin,0.46894293796785413,4.819,1.5725664376581956,6.1504810935982555
Toyopearl SP 550c,aprotinin,0.4906253681833185,3.7987,1.334658902937827,6.195680838973728
Toyopearl SP 550c,aprotinin,0.5162499231327473,2.7665,1.0175829833560275,6.246590995379827
Toyopearl SP 650c,aprotinin,0.19797483970457347,7.597,2.0277534325210844,5.288139950421056
Toyopearl SP 650c,aprotinin,0.20828596177267245,6.655,1.895368451847075,5.338911951721574
Toyopearl SP 650c,aprotinin,0.21917448764723033,4.598,1.5256214263409897,5.389868159829533
Toyopearl SP 650c,aprotinin,0.2453804734066563,3.0115,1.1024382935016386,5.50280995864089
Toyopearl SP 650c,aprotinin,0.26708530878171177,1.973,0.6795552270404783,5.587568115914001
Poros 50 HS,lysozyme,0.3673584212726717,42.87,3.7581722806098856,5.906337996188096
Poros 50 HS,lysozyme,0.39305199051975825,11.415,2.434928279981759,5.9739418945184015
Poros 50 HS,lysozyme,0.42055228792068367,6.548,1.8791596595088884,6.041568818699637
Poros 50 HS,lysozyme,0.44242534681272105,4.066,1.4026597152061548,6.092271742447366
Poros 50 HS,lysozyme,0.46806913046276144,2.8825,1.058657973161077,6.148615999672931
Poros 50 HS,lysozyme,0.4924135555205264,2.1544,0.7675122625152521,6.199318923420659
SP Sepharose BB,lysozyme,0.2948899691301281,5.89,1.7732559976634952,5.686602300763675
SP Sepharose BB,lysozyme,0.3414129577481946,1.938,0.6616565134685745,5.833092764379956
SP Sepharose BB,lysozyme,0.3652918644610606,1.2358,0.21171853364474214,5.900696662710261
SP Sepharose BB,lysozyme,0.39527559401972756,0.788,-0.2382571891242579,5.979583227996237
SP Sepharose XL,lysozyme,0.29323108004771525,8.309,2.1173392646828444,5.68096096728584
SP Sepharose XL,lysozyme,0.3190950006246194,5.736,1.7467621032973193,5.765488866049651
SP Sepharose XL,lysozyme,0.3433444249995876,3.857,1.3498896792260908,5.838734097857792
SP Sepharose XL,lysozyme,0.36943666916604817,2.2122,0.7939874954860169,5.9119793296659315
SP Sepharose XL,lysozyme,0.39527559401972756,1.7433,0.5557798687670326,5.979583227996237
Source 30S,lysozyme,0.24347815379575766,11.415,2.434928279981759,5.495027221026571
Source 30S,lysozyme,0.267953849117141,6.723,1.9055344834868997,5.590814760895123
Source 30S,lysozyme,0.29323108004771525,3.4692,1.2439240198281636,5.68096096728584
Source 30S,lysozyme,0.31729994732270417,2.2715,0.820440406217321,5.759847532571816
Source 30S,lysozyme,0.3414129577481946,1.5272,0.42343599342940075,5.833092764379956
TSKGel SP-5PW-HR20,lysozyme,0.24347815379575766,16.103,2.779005590035859,5.495027221026571
TSKGel SP-5PW-HR20,lysozyme,0.267953849117141,8.995,2.1966688674024963,5.590814760895123
TSKGel SP-5PW-HR20,lysozyme,0.29323108004771525,5.025,1.6144254539451395,5.68096096728584
TSKGel SP-5PW-HR20,lysozyme,0.3190950006246194,3.0392,1.1115943228912788,5.765488866049651
TSKGel SP-5PW-HR20,lysozyme,0.3414129577481946,1.99,0.688134638736401,5.833092764379956
TSKGel SP-5PW-HR20,lysozyme,0.3673584212726717,1.303,0.264669298142708,5.906337996188096
Toyopearl SP 550c,lysozyme,0.46806913046276144,10.544,2.3555569777601515,6.148615999672931
Toyopearl SP 550c,lysozyme,0.4924135555205264,7.089,1.9585442868728806,6.199318923420659
Toyopearl SP 550c,lysozyme,0.5151218834426511,4.52,1.5085119938441398,6.244403539541483
Toyopearl SP 550c,lysozyme,0.5419135372197037,3.1207,1.138057335631039,6.295106463289211
Toyopearl SP 550c,lysozyme,0.5669046248342903,2.5929,0.9527769404445652,6.340191079410035
Toyopearl SP 650c,lysozyme,0.24347815379575766,7.675,2.037968293473261,5.495027221026571
Toyopearl SP 650c,lysozyme,0.26644648785896685,4.175,1.4291143583028187,5.5851734274172875
Toyopearl SP 650c,lysozyme,0.29323108004771525,2.2715,0.820440406217321,5.68096096728584
Toyopearl SP 650c,lysozyme,0.3155149920052463,1.3379,0.29110122049743664,5.75420619909398
Toyopearl SP 650c,lysozyme,0.3414129577481946,0.9237,-0.0793679353835727,5.833092764379956
Poros 50 HS,myoglobin,0.09404159794456082,2.8148,1.0348912111102568,4.54373721570701
Poros 50 HS,myoglobin,0.11905290580769431,1.4094,0.34316408191078507,4.779567980931461
Poros 50 HS,myoglobin,0.14409867916197247,0.8277,-0.18910450909078697,4.970498336842526
Poros 50 HS,myoglobin,0.1695625737504226,0.4149,-0.8797177516433149,5.133222025364416
SP Sepharose BB,myoglobin,0.0934135764759714,0.4779,-0.7383537733980245,4.537036693086398
SP Sepharose BB,myoglobin,0.1189077058180968,0.18857,-1.6682859882433059,4.778347610832173
Source 30S,myoglobin,0.05861786549025024,2.0638,0.724548943699477,4.071039521966262
Source 30S,myoglobin,0.07848741034887301,0.7717,-0.25915940551857963,4.362938234205118
Source 30S,myoglobin,0.09825394572822461,0.4075,-0.8977143463012197,4.587555410026687
Source 30S,myoglobin,0.11826602496486603,0.26603,-1.3241461946049573,4.7729365358636375
TSKGel SP-5PW-HR20,myoglobin,0.06895249730975739,0.6093,-0.49544452172768844,4.233417822724203
TSKGel SP-5PW-HR20,myoglobin,0.0938858191873097,0.18431,-1.6911361564186056,4.542079354440054
Toyopearl SP 550c,myoglobin,0.11833684873524307,0.7083,-0.34488754622256007,4.773535207987816
Toyopearl SP 550c,myoglobin,0.14323198147286706,0.416,-0.8770700187208739,4.964465563898882
Toyopearl SP 550c,myoglobin,0.16855436352834993,0.23801,-1.435442589386621,5.127258329973562
Toyopearl SP 550c,myoglobin,0.19283683728055317,0.11936,-2.1256111425266866,5.261844428659064
Toyopearl SP 650c,myoglobin,0.028690624400687637,1.8769,0.6296214796800671,3.35657039346114
Toyopearl SP 650c,myoglobin,0.03842111817140287,0.8673,-0.14237034129172704,3.648607260805575
Toyopearl SP 650c,myoglobin,0.048911389425855004,0.3906,-0.9400712605395585,3.890010281955071
Toyopearl SP 650c,myoglobin,0.05854098156008867,0.2419,-1.4192308613661555,4.069727048463256
Toyopearl SP 650c,myoglobin,0.07882246275836284,0.08136,-2.5088715272418325,4.367198016627157
CM Ceramic HyperD F,anti-FVII mAb,0.11768469875864418,25.188,3.226367690626496,4.7680090037646305
CM Ceramic HyperD F,anti-FVII mAb,0.14364152260015858,16.202,2.7851346914082997,4.967320769414195
CM Ceramic HyperD F,anti-FVII mAb,0.16835654321304305,5.377,1.682130597827541,5.126084011576134
CM Ceramic HyperD F,anti-FVII mAb,0.19297009026727627,0.31406,-1.1581712285253294,5.262535204186961
CM Sepharose FF,anti-FVII mAb,0.0781285924117714,20.767,3.033365188360842,4.3583560898700595
CM Sepharose FF,anti-FVII mAb,0.08840971692004954,6.892,1.9303613186656832,4.481981883512909
CM Sepharose FF,anti-FVII mAb,0.09828336107974171,3.1842,1.1582010800797673,4.587854746088776
Heparin Ceramic HyperD M,anti-FVII mAb,0.21800677982360842,1.3922,0.3308852297524291,5.384526162413787
Heparin Ceramic HyperD M,anti-FVII mAb,0.22714333606565065,1.2129,0.1930141863326979,5.42558125462187
Heparin Ceramic HyperD M,anti-FVII mAb,0.2352935379653722,1.0,0.0,5.4608338323956085
Heparin Ceramic HyperD M,anti-FVII mAb,0.24374179213538671,0.802,-0.2206466711156225,5.496109436020277
Heparin Sepharose FF,anti-FVII mAb,0.1940215635112875,0.6087,-0.49642974348225827,5.267969305006428
Heparin Sepharose FF,anti-FVII mAb,0.2033620916017524,0.4495,-0.799619425070462,5.314988092605366
Heparin Sepharose FF,anti-FVII mAb,0.2181775195640344,0.4025,-0.9100601821235189,5.385309041345404
Heparin Sepharose FF,anti-FVII mAb,0.24105714021678687,0.28912,-1.2409134521382188,5.485034001722976
Heparin Sepharose FF,anti-FVII mAb,0.2663360779131095,0.20767,-1.5718049976272495,5.5847589621005485
Heparin Toyopearl 650m,anti-FVII mAb,0.16831003100723244,8.359,2.123338802717019,5.125807701364975
Heparin Toyopearl 650m,anti-FVII mAb,0.193860799733953,2.2249,0.799711970787975,5.26714037437295
Heparin Toyopearl 650m,anti-FVII mAb,0.21935119260916078,0.8712,-0.13788370736338637,5.39067406461208
Heparin Toyopearl 650m,anti-FVII mAb,0.24240412167201505,0.462,-0.7721903879003982,5.490606257648022
Heparin Toyopearl 650m,anti-FVII mAb,0.2678798209603493,0.23837,-1.4339311906354988,5.5905384506839635
S Ceramic HyperD 20,anti-FVII mAb,0.09281752848829682,0.3916,-0.9375143683257817,4.530635506527874
S Ceramic HyperD 20,anti-FVII mAb,0.11803478138516352,0.23837,-1.4339311906354988,4.770979338534593
SP Toyopearl 650m,anti-FVII mAb,0.06800643357965494,1.3175,0.2757360014333803,4.219602312166238
SP Toyopearl 650m,anti-FVII mAb,0.09337056783810098,0.34114,-1.07546232876941,4.536576176067799
SP Toyopearl 650m,anti-FVII mAb,0.11881465191012953,0.07486,-2.592135576505854,4.777564731900555
CM Ceramic HyperD F,aprotinin,0.34323376167169967,19.306,2.9604159284264235,5.8384117359447725
CM Ceramic HyperD F,aprotinin,0.355508509072744,15.49,2.740194654428777,5.873549184463862
CM Ceramic HyperD F,aprotinin,0.36821374823089287,10.832,2.3825047161699193,5.908663607132021
CM Ceramic HyperD F,aprotinin,0.3904181507066163,8.453,2.1345214079467905,5.9672183460468595
CM Ceramic HyperD F,aprotinin,0.44668359215096315,4.365,1.4736181892915656,6.1018504964342215
CM Sepharose FF,aprotinin,0.2415738940659219,3.5205,1.2586030249770508,5.48717540585946
CM Sepharose FF,aprotinin,0.2668517160641534,1.9748,0.6804671274025709,5.586693133578663
CM Sepharose FF,aprotinin,0.3180826639798568,0.5882,-0.5306882528622425,5.762311298621319
CM Sepharose FF,aprotinin,0.3452550184670483,0.27981,-1.2736444775752551,5.844283327931907
CM Toyopearl 650m,aprotinin,0.24299089463378964,8.485,2.1382998986861894,5.493023971995665
CM Toyopearl 650m,aprotinin,0.26841698881293896,5.613,1.7250853359600624,5.592541699714868
CM Toyopearl 650m,aprotinin,0.29305558331189135,3.2368,1.174585187431344,5.680362295161661
CM Toyopearl 650m,aprotinin,0.3180826639798568,1.8665,0.6240650193725015,5.762311298621319
CM Toyopearl 650m,aprotinin,0.3703735804940492,1.1365,0.1279533643104609,5.914512173268226
CM Toyopearl 650m,aprotinin,0.4188224953517242,0.6922,-0.3678803477808931,6.037447191383178
Heparin Ceramic HyperD M,aprotinin,0.2186905415296018,2.8276,1.0394282953146619,5.387657678140258
Heparin Ceramic HyperD M,aprotinin,0.24299089463378964,1.8705,0.6262057748060638,5.493023971995665
Heparin Ceramic HyperD M,aprotinin,0.26841698881293896,1.3438,0.2955014215039126,5.592541699714868
Heparin Ceramic HyperD M,aprotinin,0.3199484422222912,0.8181,-0.20077070046248446,5.768159864757524
Heparin Ceramic HyperD M,aprotinin,0.36821374823089287,0.4847,-0.7242251361308067,5.908663607132021
Heparin Sepharose FF,aprotinin,0.19452704965429624,1.1742,0.16058706464794842,5.27057122616151
Heparin Sepharose FF,aprotinin,0.2186905415296018,0.7556,-0.2802431433547825,5.387657678140258
Heparin Sepharose FF,aprotinin,0.24585554060221282,0.5428,-0.6110143510214231,5.504744130119005
Heparin Sepharose FF,aprotinin,0.26841698881293896,0.5134,-0.6667000105450971,5.592541699714868
Heparin Sepharose FF,aprotinin,0.3180826639798568,0.31254,-1.163022817996982,5.762311298621319
Heparin Toyopearl 650m,aprotinin,0.16903241641536232,6.118,1.8112352457287118,5.130090509637944
Heparin Toyopearl 650m,aprotinin,0.19339266583204973,3.937,1.3704190119616004,5.264722660025305
Heparin Toyopearl 650m,aprotinin,0.21741524838743784,2.4646,0.9020295225218856,5.381809112004053
Heparin Toyopearl 650m,aprotinin,0.24299089463378964,1.6757,0.5162309884245414,5.493023971995665
Heparin Toyopearl 650m,aprotinin,0.2668517160641534,1.2719,0.24051184547530177,5.586693133578663
Heparin Toyopearl 650m,aprotinin,0.2965036199894983,1.0484,0.04726519246711422,5.692059427434071
S Ceramic HyperD 20,aprotinin,0.26999765984012103,13.907,2.6323923104964737,5.598413291702003
S Ceramic HyperD 20,aprotinin,0.29305558331189135,9.201,2.2193121738002244,5.680362295161661
S Ceramic HyperD 20,aprotinin,0.3180826639798568,6.432,1.8612855318766652,5.762311298621319
S Ceramic HyperD 20,aprotinin,0.3452550184670483,4.496,1.50318811259139,5.844283327931907
S Ceramic HyperD 20,aprotinin,0.36821374823089287,3.5087,1.2552455985033586,5.908663607132021
S Ceramic HyperD 20,aprotinin,0.39501173697454,2.8144,1.0347490950011566,5.978915478319268
SP Sepharose FF,aprotinin,0.3180826639798568,5.022,1.6138282607353933,5.762311298621319
SP Sepharose FF,aprotinin,0.34323376167169967,3.4155,1.228323895189767,5.8384117359447725
SP Sepharose FF,aprotinin,0.36821374823089287,2.5227,0.9253297565248249,5.908663607132021
SP Sepharose FF,aprotinin,0.39501173697454,1.8633,0.6223491092512299,5.978915478319268
SP Sepharose FF,aprotinin,0.4188224953517242,1.4947,0.4019255178096317,6.037447191383178
SP Sepharose FF,aprotinin,0.44668359215096315,1.1348,0.12645642395255927,6.1018504964342215
SP Toyopearl 650m,aprotinin,0.2199733151617981,7.005,1.9466241797889703,5.3935062442764625
SP Toyopearl 650m,aprotinin,0.24442183486121455,3.823,1.3410354547142758,5.4988955639828
SP Toyopearl 650m,aprotinin,0.29305558331189135,1.6278,0.48722940991080393,5.680362295161661
SP Toyopearl 650m,aprotinin,0.3218325749482017,1.1069,0.10156331540944123,5.774031456744659
CM Ceramic HyperD F,lysozyme,0.3173364799320855,114.78,4.743017252680216,5.759962661826465
CM Ceramic HyperD F,lysozyme,0.3532238338478162,59.56,4.086984207815808,5.867101946203478
CM Ceramic HyperD F,lysozyme,0.3683070228265407,35.5,3.56953269648137,5.90891689149225
CM Ceramic HyperD F,lysozyme,0.3933507657839022,13.514,2.603726185129983,5.97470174759909
CM Ceramic HyperD F,lysozyme,0.44312882368679335,5.322,1.6718491725554974,6.0938605261615315
CM Sepharose FF,lysozyme,0.25816062273370993,8.67,2.1598687907924505,5.5535819599414085
CM Sepharose FF,lysozyme,0.2789394883791313,5.166,1.6420986946736489,5.630994870767869
CM Sepharose FF,lysozyme,0.33748152273505394,1.597,0.4681268692328754,5.821510761362196
CM Sepharose FF,lysozyme,0.3602881680320598,1.2538,0.2261789398577311,5.886904178003227
Heparin Ceramic HyperD M,lysozyme,0.2689923939306533,20.515,3.0211563258941494,5.594683103851352
Heparin Ceramic HyperD M,lysozyme,0.29417787059308254,7.808,2.0551488491107914,5.684184586416031
Heparin Ceramic HyperD M,lysozyme,0.31978640739365477,3.783,1.330517345650892,5.767653296037065
Heparin Ceramic HyperD M,lysozyme,0.3688501802280677,2.031,0.7085282825982477,5.910390545951766
Heparin Ceramic HyperD M,lysozyme,0.4178880960327531,1.3884,0.3281520050054942,6.035213683842973
Heparin Sepharose FF,lysozyme,0.19190222050678168,6.6,1.8870696490323797,5.256985974112846
Heparin Sepharose FF,lysozyme,0.20730510645045952,5.947,1.7828868907244566,5.334191652280936
Heparin Sepharose FF,lysozyme,0.21870564865880474,4.669,1.5409449159887998,5.3877267556930475
Heparin Sepharose FF,lysozyme,0.2307225271607657,4.066,1.4026597152061548,5.4412158074032995
Heparin Sepharose FF,lysozyme,0.2448443010979078,3.54,1.264126727145683,5.500622502802545
Heparin Toyopearl 650m,lysozyme,0.21861502153505785,10.318,2.333889942822458,5.387312290376308
Heparin Toyopearl 650m,lysozyme,0.24333243383582492,5.937,1.7812039552885384,5.494428548902392
Heparin Toyopearl 650m,lysozyme,0.2692216613940025,3.922,1.3666017277741547,5.59553506033576
Heparin Toyopearl 650m,lysozyme,0.29437437337117406,2.1809,0.7797376356410433,5.684852336092999
Heparin Toyopearl 650m,lysozyme,0.318031399243388,1.598,0.46875284734408296,5.76215011766481
S Ceramic HyperD 20,lysozyme,0.34315473827564974,14.007,2.6395572046569096,5.838181477435473
