x,SP Sepharose FF,SP Spherodex M,SP-650 M,EMD sulfonate M,CM Sepharose FF,CM Spherodex M,CM-650 M,EMD carboxylic M,SP-550 C
0.15,0.28261,,0.49783,,-0.16739,-0.2,0.33478,-0.00435,
0.2,-0.35,,-0.39565,0.1913,-0.95,-0.86522,-0.5,-0.7413,
0.25,-1.00217,,-0.80652,-0.40217,-1.4,-1.30217,-0.95652,-1.24348,
0.3,-1.32826,-0.08261,-1.25652,-0.75435,-1.77826,-1.62826,-1.36087,-1.67391,0.66087
0.35,-1.65435,-0.53261,-1.6087,-1.12609,-2.07826,-1.9413,-1.68043,-1.96739,-0.15435
0.375,,,,,,,,,-0.46087
0.4,-1.82391,-0.97609,-1.88261,-1.44565,-2.28043,-2.0587,-1.89565,-2.16304,-0.83261
0.45,,-1.26957,,,,-2.13696,,,-1.07391
0.49896,-2.03261,-1.50435,-2.35217,-1.88261,-2.65217,-2.33913,-2.20217,-2.41087,-1.35435
0.55,,,,,,,,,-1.51739
0.6,-2.15652,-1.86957,-2.68478,-2.2413,-2.91957,-2.85435,-2.3913,-2.71087,-1.67391
0.7,-2.24783,-2.17609,-3.11522,-2.56087,,,-2.60652,-3.01739,-1.96739
0.8,-2.45652,-2.39783,,-2.88696,,,-2.83478,,-2.15
0.9,-2.6587,,,-3.06957,,,,,-2.32609
1,-2.75,-2.73696,,,,,,,-2.41087
