x,SP Sepharose FF,SP Spherodex M,SP-650 M,EMD sulfonate M,CM Sepharose FF,CM Spherodex M,CM-650 M,EMD carboxylic M,SP-550 C
0.14959,,,,,,,0.33478,,
0.14974,,,,,,,,-0.00435,
0.14981,,,,,-0.16739,,,,
0.14983,,,,,,-0.2,,,
0.15053,,,0.49783,,,,,,
0.15063,0.28261,,,,,,,,
0.19918,-0.35,,,,,,,,
0.19942,,,,,,,,-0.7413,
0.19954,,,,,-0.95,,,,
0.20021,,,,0.1913,,,,,
0.20056,,,-0.39565,,,,,,
0.20062,,,,,,,-0.5,,
0.20084,,,,,,-0.86522,,,
0.24948,,,,,,,-0.95652,,
0.24952,-1.00217,,,,,,,,
0.24982,,,,,-1.4,,,,
0.25076,,,,-0.40217,,,,,
0.25106,,,-0.80652,,,,,,
0.25139,,,,,,,,-1.24348,
0.25144,,,,,,-1.30217,,,
0.29932,,,,-0.75435,,,,,
0.29984,-1.32826,,,,,,,,
0.30011,,,,,,-1.62826,,,
0.30015,,,,,,,,-1.67391,
0.30025,,,,,-1.77826,,,,
0.30075,,-0.08261,,,,,,,
0.30181,,,-1.25652,,,,,,
0.30191,,,,,,,-1.36087,,
0.30211,,,,,,,,,0.66087
0.34951,,-0.53261,,,,,,,
0.35013,,,,-1.12609,,,,,
0.35064,,,-1.6087,,,,,,
0.35069,-1.65435,,,,,,,,
0.35072,,,,,,,-1.68043,,
0.35099,,,,,,-1.9413,,,
0.35102,,,,,,,,-1.96739,
0.35114,,,,,-2.07826,,,,
0.35148,,,,,,,,,-0.15435
0.37138,,,,,,,,,-0.46087
0.39902,-1.82391,,,,,,,,
0.39942,,,,,,,,-2.16304,
0.39957,,,,,-2.28043,,,,
0.40053,,,,,,,,,-0.83261
0.4007,,-0.97609,,,,,,,
0.40127,,,,-1.44565,,,,,
0.4018,,,-1.88261,,,,,,
0.40181,,,,,,,-1.89565,,
0.40201,,,,,,-2.0587,,,
0.45114,,,,,,-2.13696,,,
0.45275,,,,,,,,,-1.07391
0.45302,,-1.26957,,,,,,,
0.49896,,,,-1.88261,,,,,
0.49919,-2.03261,,,,,,,,
0.49965,,,,,,-2.33913,,,
0.49967,,,-2.35217,,,,,,
0.49976,,,,,,,,-2.41087,
0.50012,,,,,-2.65217,,,,
0.50155,,,,,,,,,-1.35435
0.50178,,-1.50435,,,,,,,
0.50284,,,,,,,-2.20217,,
0.55167,,,,,,,,,-1.51739
0.59683,,,,,-2.91957,,,,
0.5995,-2.15652,,,,,,,,
0.59965,,,,-2.2413,,,,,
0.59993,,,,,,,-2.3913,,
0.60045,,,-2.68478,,,,,,
0.6005,,,,,,,,-2.71087,
0.60076,,,,,,-2.85435,,,
0.6027,,,,,,,,,-1.67391
0.60305,,-1.86957,,,,,,,
0.69595,-2.24783,,,,,,,,
0.69756,,,,,,,,-3.01739,
0.70008,,,,,,,,,-1.96739
0.70133,,,,-2.56087,,,,,
0.70143,,,,,,,-2.60652,,
0.7025,,,-3.11522,,,,,,
0.70528,,-2.17609,,,,,,,
0.79733,-2.45652,,,,,,,,
0.79836,,,,-2.88696,,,,,
0.802,,,,,,,,,-2.15
0.8026,,-2.39783,,,,,,,
0.80366,,,,,,,-2.83478,,
0.90118,-2.6587,,,,,,,,
0.90229,,,,-3.06957,,,,,
0.90639,,,,,,,,,-2.32609
0.99775,-2.75,,,,,,,,
1.01031,,,,,,,,,-2.41087
1.0113,,-2.73696,,,,,,,
