,IS [mM],kprime,resin,iex_type,protein
2,85.0,51.82928121244455,SP Sepharose FF,cex,alpha-chymotrypsinogen A
3,110.0,14.542369858290716,SP Sepharose FF,cex,alpha-chymotrypsinogen A
4,135.0,6.201620489861668,SP Sepharose FF,cex,alpha-chymotrypsinogen A
5,160.0,2.724928968771874,SP Sepharose FF,cex,alpha-chymotrypsinogen A
6,185.0,1.3697937677128589,SP Sepharose FF,cex,alpha-chymotrypsinogen A
7,210.0,0.7532084540676447,SP Sepharose FF,cex,alpha-chymotrypsinogen A
9,260.0,0.3359426826505306,SP Sepharose FF,cex,alpha-chymotrypsinogen A
10,310.0,0.21774850699518708,SP Sepharose FF,cex,alpha-chymotrypsinogen A
11,360.0,0.09285925305002952,SP Sepharose FF,cex,alpha-chymotrypsinogen A
12,410.0,0.0648612308572369,SP Sepharose FF,cex,alpha-chymotrypsinogen A
19,135.0,62.214136501392005,SP Spherodex M,cex,alpha-chymotrypsinogen A
20,160.0,26.93078902889521,SP Spherodex M,cex,alpha-chymotrypsinogen A
21,185.0,12.376250119960256,SP Spherodex M,cex,alpha-chymotrypsinogen A
22,210.0,6.315083215331159,SP Spherodex M,cex,alpha-chymotrypsinogen A
24,260.0,2.2507594266134667,SP Spherodex M,cex,alpha-chymotrypsinogen A
25,310.0,1.0657346293859304,SP Spherodex M,cex,alpha-chymotrypsinogen A
26,360.0,0.8644683107079897,SP Spherodex M,cex,alpha-chymotrypsinogen A
27,410.0,0.6805328247021089,SP Spherodex M,cex,alpha-chymotrypsinogen A
29,510.0,0.23540141969721617,SP Spherodex M,cex,alpha-chymotrypsinogen A
30,45.0,68.46212032651476,SP-650 M,cex,alpha-chymotrypsinogen A
31,60.0,16.053892312478286,SP-650 M,cex,alpha-chymotrypsinogen A
32,85.0,5.389523196372751,SP-650 M,cex,alpha-chymotrypsinogen A
34,135.0,0.8315154928947085,SP-650 M,cex,alpha-chymotrypsinogen A
35,160.0,0.39372260098990514,SP-650 M,cex,alpha-chymotrypsinogen A
36,185.0,0.23330301188021998,SP-650 M,cex,alpha-chymotrypsinogen A
37,210.0,0.16541326935328737,SP-650 M,cex,alpha-chymotrypsinogen A
39,260.0,0.11046898036317213,SP-650 M,cex,alpha-chymotrypsinogen A
40,310.0,0.08315154928947081,SP-650 M,cex,alpha-chymotrypsinogen A
47,85.0,84.43332838433808,EMD sulfonate M,cex,alpha-chymotrypsinogen A
48,110.0,24.409220444932537,EMD sulfonate M,cex,alpha-chymotrypsinogen A
49,135.0,14.681617648779318,EMD sulfonate M,cex,alpha-chymotrypsinogen A
50,160.0,6.646972922574333,EMD sulfonate M,cex,alpha-chymotrypsinogen A
51,185.0,3.341364926514787,EMD sulfonate M,cex,alpha-chymotrypsinogen A
52,210.0,1.864978844019239,EMD sulfonate M,cex,alpha-chymotrypsinogen A
54,260.0,0.7380298197022344,EMD sulfonate M,cex,alpha-chymotrypsinogen A
55,310.0,0.37658577369074947,EMD sulfonate M,cex,alpha-chymotrypsinogen A
56,360.0,0.24777296027775297,EMD sulfonate M,cex,alpha-chymotrypsinogen A
57,410.0,0.18930579538864276,EMD sulfonate M,cex,alpha-chymotrypsinogen A
58,460.0,0.09375056842693627,EMD sulfonate M,cex,alpha-chymotrypsinogen A
61,60.0,77.60484428071568,CM Sepharose FF,cex,alpha-chymotrypsinogen A
62,85.0,13.903970312520613,CM Sepharose FF,cex,alpha-chymotrypsinogen A
63,110.0,4.598527964019687,CM Sepharose FF,cex,alpha-chymotrypsinogen A
64,135.0,2.2772925836870637,CM Sepharose FF,cex,alpha-chymotrypsinogen A
65,160.0,1.1110633750652574,CM Sepharose FF,cex,alpha-chymotrypsinogen A
66,185.0,0.62013869614135,CM Sepharose FF,cex,alpha-chymotrypsinogen A
67,210.0,0.4267257317606019,CM Sepharose FF,cex,alpha-chymotrypsinogen A
69,260.0,0.2644592925377796,CM Sepharose FF,cex,alpha-chymotrypsinogen A
70,310.0,0.1663638000236709,CM Sepharose FF,cex,alpha-chymotrypsinogen A
72,410.0,0.09285575633859774,CM Sepharose FF,cex,alpha-chymotrypsinogen A
77,85.0,20.65123624650418,CM Spherodex M,cex,alpha-chymotrypsinogen A
78,110.0,6.24390166814707,CM Spherodex M,cex,alpha-chymotrypsinogen A
79,135.0,3.1860754410838865,CM Spherodex M,cex,alpha-chymotrypsinogen A
80,160.0,1.6501979944854377,CM Spherodex M,cex,alpha-chymotrypsinogen A
84,260.0,0.3046323740164775,CM Spherodex M,cex,alpha-chymotrypsinogen A
85,310.0,0.15778149072525163,CM Spherodex M,cex,alpha-chymotrypsinogen A
86,360.0,0.08420270724927463,CM Spherodex M,cex,alpha-chymotrypsinogen A
90,45.0,65.23401585503791,CM-650 M,cex,alpha-chymotrypsinogen A
91,60.0,19.142740622406937,CM-650 M,cex,alpha-chymotrypsinogen A
92,85.0,5.451852718003457,CM-650 M,cex,alpha-chymotrypsinogen A
93,110.0,1.8858368372751375,CM-650 M,cex,alpha-chymotrypsinogen A
94,135.0,0.9622858834861618,CM-650 M,cex,alpha-chymotrypsinogen A
95,160.0,0.5291321071506477,CM-650 M,cex,alpha-chymotrypsinogen A
96,185.0,0.318261506974571,CM-650 M,cex,alpha-chymotrypsinogen A
97,210.0,0.2360011476142464,CM-650 M,cex,alpha-chymotrypsinogen A
99,260.0,0.14408677297682548,CM-650 M,cex,alpha-chymotrypsinogen A
100,310.0,0.11343161483797791,CM-650 M,cex,alpha-chymotrypsinogen A
101,360.0,0.10064312535972081,CM-650 M,cex,alpha-chymotrypsinogen A
102,410.0,0.046947677742119345,CM-650 M,cex,alpha-chymotrypsinogen A
103,460.0,0.05059226404093142,CM-650 M,cex,alpha-chymotrypsinogen A
106,60.0,34.459778991092534,EMD carboxylic M,cex,alpha-chymotrypsinogen A
107,85.0,8.325924871918907,EMD carboxylic M,cex,alpha-chymotrypsinogen A
108,110.0,3.0121215120180467,EMD carboxylic M,cex,alpha-chymotrypsinogen A
109,135.0,1.3842434837111608,EMD carboxylic M,cex,alpha-chymotrypsinogen A
110,160.0,0.7169559738744271,EMD carboxylic M,cex,alpha-chymotrypsinogen A
111,185.0,0.4185356804049153,EMD carboxylic M,cex,alpha-chymotrypsinogen A
112,210.0,0.27536737701006503,EMD carboxylic M,cex,alpha-chymotrypsinogen A
114,260.0,0.16562751568939799,EMD carboxylic M,cex,alpha-chymotrypsinogen A
115,310.0,0.09814371378077345,EMD carboxylic M,cex,alpha-chymotrypsinogen A
116,360.0,0.032459549478987146,EMD carboxylic M,cex,alpha-chymotrypsinogen A
123,110.0,41.758551624622555,SP-550 C,cex,alpha-chymotrypsinogen A
124,135.0,24.01515682074202,SP-550 C,cex,alpha-chymotrypsinogen A
125,160.0,8.688112322297748,SP-550 C,cex,alpha-chymotrypsinogen A
126,185.0,2.706670732876774,SP-550 C,cex,alpha-chymotrypsinogen A
128,235.0,0.8819123552830394,SP-550 C,cex,alpha-chymotrypsinogen A
129,260.0,0.46366618803341114,SP-550 C,cex,alpha-chymotrypsinogen A
131,360.0,0.2626911410482732,SP-550 C,cex,alpha-chymotrypsinogen A
132,410.0,0.1444459691013223,SP-550 C,cex,alpha-chymotrypsinogen A
133,460.0,0.05978543960227901,SP-550 C,cex,alpha-chymotrypsinogen A
137,85.0,102.53449575884171,Cellufine S,cex,alpha-chymotrypsinogen A
138,110.0,25.37172526267665,Cellufine S,cex,alpha-chymotrypsinogen A
139,135.0,10.942838758781432,Cellufine S,cex,alpha-chymotrypsinogen A
140,160.0,5.164639351678744,Cellufine S,cex,alpha-chymotrypsinogen A
141,185.0,2.51188643150958,Cellufine S,cex,alpha-chymotrypsinogen A
142,210.0,1.398459842837442,Cellufine S,cex,alpha-chymotrypsinogen A
144,260.0,0.49619227654420606,Cellufine S,cex,alpha-chymotrypsinogen A
145,310.0,0.1955689932028923,Cellufine S,cex,alpha-chymotrypsinogen A
147,410.0,0.04356422576081621,Cellufine S,cex,alpha-chymotrypsinogen A
