x,Macro-Prep 25Q
3.6575,0.44587
3.9409,0.6556
4.2709,1.0039
4.682,1.6337
5.134,3.0024
5.7584,5.299

x,TSK-Gel Q-5PW-HR
4.987,0.1758
5.7232,0.34343
6.419,0.594
7.3263,1.2584
8.6088,3.6875

x,Poros QE/M
2.379,0.7689
2.5191,0.9419
2.6979,1.1776
2.9062,1.5333
3.0954,2.0371
3.3728,2.7622
3.6756,4.0618

x,Q Sepharose FF
5.0616,0.06645
5.6981,0.6058
6.0046,1.0907
6.3673,2.556
6.8627,4.2444

x,Q HyperD 20
5.4158,0.6839
6.0467,1.9634
6.5174,3.327
6.7086,4.2439
6.9467,6.114

x,Q Zirconia
5.3876,0.8376
6.0445,1.6695
6.4386,2.3098
6.8624,4.1592
7.3948,6.369

x,Source 30Q
5.7027,0.8725
6.3957,1.4788
6.6952,1.7395
7.342,3.2624
8.0034,5.418
8.6807,11.949

x,Fractogel EMD TMAE 650s
4.668,0.42873
5.1145,0.5471
5.6996,0.6841
6.4263,0.986
7.3744,1.8496
7.9462,2.7753
8.6625,4.7031

x,Express-Ion Q
3.9688,0.09559
4.4263,0.16871
4.9999,0.5582
5.6743,1.1825
6.6302,3.536
8.0195,13.217
