x,DEAE Sepharose FF
0.77383,0.6407
0.80329,1.2146
0.82929,2.1831
0.85875,3.924
0.89341,11.391

x,Poros 50 D
0.74783,0.29585
0.79983,1.2145
0.85875,4.855
0.89341,12.014

x,Fractogel EMD DEAE (M)
0.55373,0.27174
0.59705,0.5887
0.64211,1.2094
0.68198,2.2934
0.70451,3.421
0.7253,8.023

x,MacroPrep DEAE Support
0.62305,1.9005
0.64385,2.2911
0.66118,2.9912
0.70451,4.013

x,DEAE Ceramic HyperD 20
0.77556,0.658
0.79983,1.008
0.83102,1.7644
0.89168,11.698

x,Toyopearl DEAE 650 M
0.77556,0.32933
0.80156,0.5182
0.83102,0.8373
0.92981,4.038
